Interval,Humidity.Average,Temperature.Average
11/14/20 21:00,61.12427823,19.48942599
11/14/20 21:12,60.50397052,19.21298033
11/14/20 21:24,60.89271694,19.49770307
11/14/20 21:36,60.58181516,19.02906593
11/14/20 21:48,60.62083206,19.37475771
11/14/20 22:00,62.01261172,19.64023302
11/14/20 22:12,61.06440763,19.54995392
11/14/20 22:24,59.90763487,20.30016181
11/14/20 22:36,59.32237602,19.87751224
11/14/20 22:48,58.62647766,20.75251722
11/14/20 23:00,58.05383781,20.38382457
11/14/20 23:12,58.66369953,20.29318219
11/14/20 23:24,58.78771776,20.17421576
11/14/20 23:36,58.80961982,19.80750852
11/14/20 23:48,59.36184639,20.21772135
11/15/20 0:00,59.76176462,19.79242
11/15/20 0:12,59.67650138,20.01946978
11/15/20 0:24,60.38908303,19.86851944
11/15/20 0:36,60.76813975,19.68591705
11/15/20 0:48,60.50556278,20.02736442
11/15/20 1:00,60.4568329,19.5707586
11/15/20 1:12,61.1089962,19.74457296
11/15/20 1:24,61.11359169,19.43136972
11/15/20 1:36,61.33860295,19.59305452
11/15/20 1:48,61.5160366,19.41972189
11/15/20 2:00,61.38955503,19.17555486
11/15/20 2:12,61.33809751,19.43929829
11/15/20 2:24,62.00194016,18.99021037
11/15/20 2:36,62.03089393,19.51440947
11/15/20 2:48,61.43695486,18.90300638
11/15/20 3:00,61.46578093,19.17838409
11/15/20 3:12,61.438515,18.95483205
11/15/20 3:24,61.20272431,18.78829183
11/15/20 3:36,61.62780108,19.04243708
11/15/20 3:48,61.5918893,18.54057484
11/15/20 4:00,61.83471264,18.87230209
11/15/20 4:12,62.28307164,18.65754148
11/15/20 4:24,62.27127485,18.60448284
11/15/20 4:36,62.10456522,18.84292259
11/15/20 4:48,62.4865256,18.21102151
11/15/20 5:00,62.48527164,18.83620727
11/15/20 5:12,62.3188711,18.25780192
11/15/20 5:24,62.86613994,18.62794888
11/15/20 5:36,63.04001777,18.57963319
11/15/20 5:48,63.00396948,18.05102116
11/15/20 6:00,63.12869405,18.54058996
11/15/20 6:12,63.29848811,18.02053948
11/15/20 6:24,62.80839187,18.5333296
11/15/20 6:36,63.16490797,18.14510005
11/15/20 6:48,63.30366176,18.15408182
11/15/20 7:00,63.01414822,18.3104087
11/15/20 7:12,62.95887398,18.07712813
11/15/20 7:24,63.55979445,18.21737062
11/15/20 7:36,63.11501239,18.04071643
11/15/20 7:48,63.54372556,18.05811843
11/15/20 8:00,64.13912479,18.17551646
11/15/20 8:12,64.49722172,18.18960531
11/15/20 8:24,63.87559086,18.86641189
11/15/20 8:36,63.20275758,18.70670099
11/15/20 8:48,62.9838887,19.41104269
11/15/20 9:00,61.91227903,19.33723584
11/15/20 9:12,61.60388168,19.80903266
11/15/20 9:24,60.95904285,19.75577432
11/15/20 9:36,61.11604344,19.46661063
11/15/20 9:48,61.55893033,19.6717548
11/15/20 10:00,62.02366355,19.42906117
11/15/20 10:12,62.19369016,20.05471174
11/15/20 10:24,61.67480874,19.7768852
11/15/20 10:36,61.60420305,19.72488552
11/15/20 10:48,61.44131925,19.84762593
11/15/20 11:00,61.45274016,19.45319217
11/15/20 11:12,62.18748601,20.01302119
11/15/20 11:24,61.62713936,19.76759666
11/15/20 11:36,61.40575058,20.08358314
11/15/20 11:48,61.66533864,20.1201723
11/15/20 12:00,61.62502833,19.63412725
11/15/20 12:12,61.29808115,20.22478557
11/15/20 12:24,62.29727568,19.49955849
11/15/20 12:36,62.8444569,20.14853382
11/15/20 12:48,62.69521145,19.74400926
11/15/20 13:00,63.6298832,19.76021529
11/15/20 13:12,63.6105125,19.84866443
11/15/20 13:24,63.27046016,19.53453644
11/15/20 13:36,63.28767826,20.00251871
11/15/20 13:48,62.96587203,19.63620862
11/15/20 14:00,62.53330925,19.9117724
11/15/20 14:12,61.81335972,20.11891148
11/15/20 14:24,62.57105678,19.82076078
11/15/20 14:36,62.06662373,20.0485431
11/15/20 14:48,62.00137169,19.63474191
11/15/20 15:00,62.5179614,20.02898883
11/15/20 15:12,62.33042459,19.559634
11/15/20 15:24,62.15787924,19.81364215
11/15/20 15:36,62.56568258,19.76806188
11/15/20 15:48,62.65741361,19.67719227
11/15/20 16:00,62.3022493,19.95365848
11/15/20 16:12,62.54197295,19.51602123
11/15/20 16:24,62.39522601,19.92174143
11/15/20 16:36,61.68814915,19.70024441
11/15/20 16:48,61.29952934,20.09493643
11/15/20 17:00,61.69580134,20.06098092
11/15/20 17:12,61.37839237,19.81178345
11/15/20 17:24,61.58229611,20.16060799
11/15/20 17:36,61.80454256,19.70586715
11/15/20 17:48,61.43241437,19.95558061
11/15/20 18:00,62.0213416,19.9649457
11/15/20 18:12,62.75466319,19.58533411
11/15/20 18:24,62.36412293,20.18766315
11/15/20 18:36,62.42420754,19.44999428
11/15/20 18:48,62.70076299,20.12262535
11/15/20 19:00,62.50305069,19.70922386
11/15/20 19:12,62.32347403,19.67394645
11/15/20 19:24,62.65255539,19.86052964
11/15/20 19:36,62.54250709,19.57546786
11/15/20 19:48,62.29049394,20.10100755
11/15/20 20:00,61.7374534,20.03614616
11/15/20 20:12,61.53482642,20.12002006
11/15/20 20:24,61.39347478,19.99715579
11/15/20 20:36,61.6006107,19.76178156
11/15/20 20:48,61.26959862,20.21843351
11/15/20 21:00,61.30305084,19.77295709
11/15/20 21:12,61.7449341,20.01892314
11/15/20 21:24,61.40771949,19.80140769
11/15/20 21:36,61.41469628,19.78228804
11/15/20 21:48,62.41647428,20.15808801
11/15/20 22:00,61.66027396,19.91882219
11/15/20 22:12,61.40762587,20.27968784
11/15/20 22:24,61.7051175,19.71325061
11/15/20 22:36,61.64725382,20.13418271
11/15/20 22:48,61.32017539,19.83094279
11/15/20 23:00,61.60408167,19.91118701
11/15/20 23:12,61.68638117,19.89775883
11/15/20 23:24,61.37525692,19.78447859
11/15/20 23:36,61.68478026,19.96592716
11/15/20 23:48,61.92902126,19.67796944
